tx0,component,weight,mean_z,variance_z,sigma_z
0.0,0,1.0,1.0,1e-12,1e-06
0.0,1,0.0,1.0,1e-12,1e-06
0.0,2,0.0,1.0,1e-12,1e-06
0.0,3,0.0,1.0,1e-12,1e-06
0.0,4,0.0,1.0,1e-12,1e-06
0.0,5,0.0,1.0,1e-12,1e-06
5e-07,0,0.9999921619560064,1.0,1e-12,1e-06
5e-07,1,5.343558661636464e-06,0.9999884766922776,1.1649201635350842e-12,1.0793146730843068e-06
5e-07,2,1.072010225328303e-06,0.9997556244551142,1.2049366711189074e-12,1.0976960741110935e-06
5e-07,3,3.7520357886490606e-07,0.9992451213355708,1.2122780984667265e-12,1.101035012370963e-06
5e-07,4,3.7520357886490606e-07,0.9985820475235481,1.2285495826020516e-12,1.1083995590950276e-06
5e-07,5,6.720679489558206e-07,0.9953608743511242,1.2790715280069762e-12,1.1309604449347361e-06
5.231110298002808e-07,0,0.9999917996654698,1.0,1e-12,1e-06
5.231110298002808e-07,1,5.590548948573723e-06,0.9999879440612613,1.173168808444219e-12,1.0831291744035977e-06
5.231110298002808e-07,2,1.1215607458558395e-06,0.9997443289141136,1.2153645231663774e-12,1.1024357229182921e-06
5.231110298002808e-07,3,3.925462610495438e-07,0.9992102292889523,1.2231128466223559e-12,1.1059443234730923e-06
5.231110298002808e-07,4,3.925462610495438e-07,0.9985165068396706,1.2402938860959114e-12,1.1136848235007567e-06
5.231110298002808e-07,5,7.031323137480838e-07,0.9951464444088873,1.2937064129772094e-12,1.1374121561585357e-06
5.472902989974217e-07,0,0.9999914206291185,1.0,1e-12,1e-06
5.472902989974217e-07,1,5.848955635274569e-06,0.9999873868109425,1.1818612490476517e-12,1.0871344208733582e-06
5.472902989974217e-07,2,1.1734015934964412e-06,0.9997325112699436,1.2263709837573007e-12,1.107416355196771e-06
5.472902989974217e-07,3,4.1069055772375444e-07,0.9991737244600755,1.2345520664309337e-12,1.1111039854266268e-06
5.472902989974217e-07,4,4.1069055772375444e-07,0.9984479367303969,1.252701226582511e-12,1.1192413620763445e-06
5.472902989974217e-07,5,7.356325374612304e-07,0.9949221030730803,1.3091970221269002e-12,1.1442014779429801e-06
5.725871838164898e-07,0,0.9999910240729261,1.0,1e-12,1e-06
5.725871838164898e-07,1,6.11930641124927e-06,0.999986803803366,1.1910244197476786e-12,1.0913406524764295e-06
5.725871838164898e-07,2,1.2276386318864276e-06,0.9997201473899204,1.237992893363479e-12,1.1126512901010268e-06
5.725871838164898e-07,3,4.2967352116024966e-07,0.9991355323028226,1.2466345647849036e-12,1.116527905958872e-06
5.725871838164898e-07,4,4.2967352116024966e-07,0.9983761971694455,1.2658149357979053e-12,1.1250844127432863e-06
5.725871838164898e-07,5,7.696349884518756e-07,0.9946873922186787,1.3256022156062066e-12,1.1513479993495479e-06
5.990533427533734e-07,0,0.9999906091870897,1.0,1e-12,1e-06
5.990533427533734e-07,1,6.402153356904131e-06,0.9999861938479787,1.200687185318683e-12,1.0957587258692869e-06
5.990533427533734e-07,2,1.2843826178974338e-06,0.999707212025898,1.2502698995005225e-12,1.1181546849611294e-06
5.990533427533734e-07,3,4.495339162641018e-07,0.9990955748254009,1.2594021359508635e-12,1.1222308746202198e-06
5.990533427533734e-07,4,4.495339162641018e-07,0.998301141658232,1.279681754754912e-12,1.1312301952984248e-06
5.990533427533734e-07,5,8.052091027587756e-07,0.994441832545176,1.3429857746443363e-12,1.15887263089795e-06
6.267428220660369e-07,0,0.9999901751243757,1.0,1e-12,1e-06
6.267428220660369e-07,1,6.698074070938904e-06,0.9999855556991971,1.2108805072097186e-12,1.1004001577652188e-06
6.267428220660369e-07,2,1.3437494278118173e-06,0.9996936787627088,1.2632447147210093e-12,1.1239415975579022e-06
6.267428220660369e-07,3,4.7031229973413606e-07,0.9990537704310763,1.2728998390676693e-12,1.128228628899156e-06
6.267428220660369e-07,4,4.7031229973413606e-07,0.9982226169267059,1.2943521576023162e-12,1.1376959864578569e-06
6.267428220660369e-07,5,8.424275258974084e-07,0.9941849225978093,1.3614168985236818e-12,1.166797711055212e-06
6.557121661417975e-07,0,0.9999897209983892,1.0,1e-12,1e-06
6.557121661417975e-07,1,7.0076728498548205e-06,0.9999848880538645,1.221637626794425e-12,1.1052771719321923e-06
6.557121661417975e-07,2,1.405860293952356e-06,0.9996795199642218,1.2769634025720815e-12,1.1300280538871952e-06
6.557121661417975e-07,3,4.920511028833246e-07,0.9990100337515457,1.2871763060280204e-12,1.134537926218432e-06
6.557121661417975e-07,4,4.920511028833246e-07,0.998140462620359,1.309880711705058e-12,1.1445002017059926e-06
6.557121661417975e-07,5,8.813662612085923e-07,0.9939161377435434,1.3809707604571282e-12,1.1751471228987153e-06
6.860205329660185e-07,0,0.9999892458817641,1.0,1e-12,1e-06
6.860205329660185e-07,1,7.331581921982064e-06,0.9999841895485896,1.2329942675544641e-12,1.1104027501562054e-06
6.860205329660185e-07,2,1.4708420522494883e-06,0.9996647067169072,1.2914756949927644e-12,1.136431121974739e-06
6.860205329660185e-07,3,5.147947182873209e-07,0.9989642754726071,1.3022840835560044e-12,1.141176622419161e-06
6.860205329660185e-07,4,5.147947182873209e-07,0.9980545109727679,1.3263264785837829e-12,1.1516624846645753e-06
6.860205329660185e-07,5,9.221048250641021e-07,0.9936349290997238,1.401729130344923e-12,1.1839464220753078e-06
7.177298149279829e-07,0,0.9999887488042699,1.0,1e-12,1e-06
7.177298149279829e-07,1,7.670462738546317e-06,0.9999834587569622,1.2449888584445791e-12,1.1157906875595347e-06
7.177298149279829e-07,2,1.538827401251576e-06,0.9996492087707924,1.3068353451116547e-12,1.143168992367994e-06
7.177298149279829e-07,3,5.385895904380516e-07,0.9989164021517722,1.3182800138305993e-12,1.1481637574103267e-06
7.177298149279829e-07,4,5.385895904380516e-07,0.9979645864629989,1.3437534610193227e-12,1.1592038047812484e-06
7.177298149279829e-07,5,9.647264092461802e-07,0.9933407224132094,1.4237810735998082e-12,1.1932229773180737e-06
7.509047652106843e-07,0,0.9999882287508306,1.0,1e-12,1e-06
7.509047652106843e-07,1,8.025007324411297e-06,0.9999826941866407,1.2576627809876734e-12,1.1214556527066388e-06
7.509047652106843e-07,2,1.6099551731072047e-06,0.9996329944776886,1.3231005199662956e-12,1.1502610660047117e-06
7.509047652106843e-07,3,5.634843105875217e-07,0.9988663160274484,1.3352256586268297e-12,1.1555196487411323e-06
7.509047652106843e-07,4,5.634843105875217e-07,0.9978705054571798,1.3622311024014384e-12,1.1671465642332322e-06
7.509047652106843e-07,5,1.0093180508325936e-06,0.9930329168876961,1.4472237366458493e-12,1.2030061249411198e-06
7.856131300226e-07,0,0.9999876846594499,1.0,1e-12,1e-06
7.856131300226e-07,1,8.395939691255198e-06,0.9999818942763041,1.2710606429930498e-12,1.1274132529791593e-06
7.856131300226e-07,2,1.684370617072802e-06,0.9996160307265626,1.3403342383141994e-12,1.1577280502407287e-06
7.856131300226e-07,3,5.895297159754808e-07,0.9988139148193009,1.3531877726664822e-12,1.1632659939439828e-06
7.856131300226e-07,4,5.895297159754808e-07,0.9977720758335025,1.381834845300028e-12,1.175514715050402e-06
7.856131300226e-07,5,1.0559708099341027e-06,0.9927108839568372,1.4721632313552796e-12,1.2133273389136501e-06
8.219257869414885e-07,0,0.9999871154190448,1.0,1e-12,1e-06
8.219257869414885e-07,1,8.784017316067116e-06,0.9999810573924643,1.2852305821875495e-12,1.1336801057562708e-06
8.219257869414885e-07,2,1.7622256961245758e-06,0.999598282875921,1.3586048594574706e-12,1.165592063913216e-06
8.219257869414885e-07,3,6.167789936436016e-07,0.9987590915193874,1.372238832706328e-12,1.1714259825982724e-06
8.219257869414885e-07,4,6.167789936436016e-07,0.9976690965898931,1.4026467572833827e-12,1.1843338875854995e-06
8.219257869414885e-07,5,1.1047799556473301e-06,0.9923739660006546,1.4987156326343566e-12,1.2242204183211276e-06
8.599168896527366e-07,0,0.9999865198671759,1.0,1e-12,1e-06
8.599168896527366e-07,1,9.190032687982736e-06,0.9999801818261298,1.300224603506219e-12,1.140273915998353e-06
8.599168896527366e-07,2,1.843679397280487e-06,0.9995797146830693,1.3779866298762844e-12,1.1738767524217712e-06
8.599168896527366e-07,3,6.452877890481705e-07,0.9987017341736376,1.3924576298640336e-12,1.1800244191812446e-06
8.599168896527366e-07,4,6.452877890481705e-07,0.997561357433548,1.4247562332284784e-12,1.1936315315994624e-06
8.599168896527366e-07,5,1.1558451606027668e-06,0.992021475002621,1.527008105658438e-12,1.2357216942574237e-06
8.996640193777969e-07,0,0.9999858967876732,1.0,1e-12,1e-06
8.996640193777969e-07,1,9.614814926617806e-06,0.999979265789316,1.316098954316447e-12,1.1472135609015641e-06
8.996640193777969e-07,2,1.928898056265918e-06,0.9995602882301008,1.3985602954826471e-12,1.182607413930188e-06
8.996640193777969e-07,3,6.751143196930713e-07,0.9986417256532341,1.413929933814811e-12,1.1890878579040369e-06
8.996640193777969e-07,4,6.751143196930713e-07,0.997448638351497,1.4482607847945145e-12,1.2034370713894908e-06
8.996640193777969e-07,5,1.2092707045051715e-06,0.9916526911446675,1.5571801819544377e-12,1.247870258462168e-06
9.412483433019584e-07,0,0.9999852449081524,1.0,1e-12,1e-06
9.412483433019584e-07,1,1.0059231475204304e-05,0.9999783074113939,1.3329145424592184e-12,1.1545191823695345e-06
9.412483433019584e-07,2,2.0180556971860486e-06,0.9995399638464655,1.420413788490634e-12,1.1918111379285872e-06
9.412483433019584e-07,3,7.063194940151171e-07,0.998578943415424,1.4367492388145343e-12,1.1986447508809833e-06
9.412483433019584e-07,4,7.063194940151171e-07,0.9973307091613173,1.4732669294011927e-12,1.213782076569428e-06
9.412483433019584e-07,5,1.2651656870820228e-06,0.9912668613372521,1.5893852067157607e-12,1.2607082163275373e-06
9.847547803249915e-07,0,0.9999845628974177,1.0,1e-12,1e-06
9.847547803249915e-07,1,1.0524189871987044e-05,0.9999773047352706,1.3507374026973438e-12,1.1622122881373023e-06
9.847547803249915e-07,2,2.1113343878986354e-06,0.9995187000279584,1.4436429992833536e-12,1.2015169575513088e-06
9.847547803249915e-07,3,7.389670357645224e-07,0.9985132592532759,1.461017603052475e-12,1.2087256111510482e-06
9.847547803249915e-07,4,7.389670357645224e-07,0.9972073290410804,1.4998911930133626e-12,1.2247004503197353e-06
9.847547803249915e-07,5,1.3236442508749136e-06,0.9908631976814826,1.623791983507959e-12,1.2742809672548512e-06
1.0302721744731134e-06,0,0.9999838493627421,1.0,1e-12,1e-06
1.0302721744731134e-06,1,1.1010639603497679e-05,0.9999762557133915,1.3696392179800115e-12,1.170315862483292e-06
1.0302721744731134e-06,2,2.208924611812806e-06,0.9994964533519649,1.4683526452770687e-12,1.2117560172233802e-06
1.0302721744731134e-06,3,7.731236141344822e-07,0.9984445390338702,1.4868465946508998e-12,1.2193631922650855e-06
1.0302721744731134e-06,4,7.731236141344822e-07,0.9970782460375726,1.5282612433389132e-12,1.2362286371617968e-06
1.0302721744731134e-06,5,1.3848258143287975e-06,0.9904408758601575,1.660586647001118e-12,1.2886375157510811e-06
1.07789347632641e-06,0,0.9999831028470243,1.0,1e-12,1e-06
1.07789347632641e-06,1,1.1519574043490857e-05,0.9999751582035608,1.3896979028858431e-12,1.1788544875792954e-06
1.07789347632641e-06,2,2.311025656873166e-06,0.9994731783887878,1.494657250683526e-12,1.2225617574108582e-06
1.07789347632641e-06,3,8.088589799056081e-07,0.9983726424243875,1.5143583597601093e-12,1.230592686375191e-06
1.07789347632641e-06,4,8.088589799056081e-07,0.9969431965517831,1.5585171727639766e-12,1.248405852583196e-06
1.07789347632641e-06,5,1.4488353156551e-06,0.9899990334544365,1.6999747996918775e-12,1.3038308171276968e-06
1.127715932832226e-06,0,0.9999823218258123,1.0,1e-12,1e-06
1.127715932832226e-06,1,1.2052032481502172e-05,0.9999740099645652,1.410998257716571e-12,1.1878544766580505e-06
1.127715932832226e-06,2,2.417846022523584e-06,0.9994488276088755,1.522682253305897e-12,1.2339701184817633e-06
1.127715932832226e-06,3,8.462461078832544e-07,0.9982974226055361,1.5436868307069675e-12,1.2424519430171001e-06
1.127715932832226e-06,4,8.462461078832544e-07,0.9968019048006124,1.5908129535594297e-12,1.2612743371524808e-06
1.127715932832226e-06,5,1.5158034679667083e-06,0.9895367681827042,1.7421839549307202e-12,1.3199181622095819e-06
1.1798412858921028e-06,0,0.9999815047041913,1.0,1e-12,1e-06
1.1798412858921028e-06,1,1.26091022451701e-05,0.9999728086515983,1.4336327030089854e-12,1.1973440203253972e-06
1.1798412858921028e-06,2,2.529603845481656e-06,0.9994233512857628,1.5525652571361435e-12,1.2460197659492178e-06
1.1798412858921028e-06,3,8.853613459185796e-07,0.9982187259717346,1.5749790951161996e-12,1.2549817110684122e-06
1.1798412858921028e-06,4,8.853613459185796e-07,0.996654082253698,1.625318091693374e-12,1.2748796381201536e-06
1.1798412858921028e-06,5,1.5858670262058074e-06,0.9890531360580307,1.7874663361654408e-12,1.3369616060925014e-06
1.2343759801278108e-06,0,0.9999806498135262,1.0,1e-12,1e-06
1.2343759801278108e-06,1,1.3191920920655929e-05,0.9999715518114719,1.4577021057480857e-12,1.2073533475118564e-06
1.2343759801278108e-06,2,2.646527345193319e-06,0.9993966973945247,1.5844574526300878e-12,1.2587523396721405e-06
1.2343759801278108e-06,3,9.262845708176617e-07,0.9981363918174352,1.6083969504261882e-12,1.2682259067004538e-06
1.2343759801278108e-06,4,9.262845708176617e-07,0.9964994270442099,1.6622195100953073e-12,1.2892709219149044e-06
1.2343759801278108e-06,5,1.6591690664096577e-06,0.9885471494604657,1.8361020914164165e-12,1.3550284467185243e-06
1.2914313802507804e-06,0,0.9999797554080537,1.0,1e-12,1e-06
