tX0,n_components,weighted_mean_z,component_q10_z,component_q50_z,component_q90_z,total_weight
5e-05,1,1.0,1.0,1.0,1.0,1.0
0.0001,2,0.9999000049998333,0.9954083928494908,0.997449107138606,0.9994898214277212,1.0
0.0003,2,0.9997000449955004,0.9862265559158336,0.9923480866199076,0.9984696173239815,1.0
0.001,2,0.999000499833375,0.9541045841855885,0.9745025467697714,0.9949005093539542,1.0
0.003,2,0.997004495503373,0.9073555310321555,0.9485308505734198,0.989706170114684,1.0
0.01,2,0.9900498337491681,0.9004983374916808,0.9447212986064893,0.9889442597212978,1.0
0.03,2,0.9704455335485082,0.8522276677425406,0.9076422923390879,0.9815284584678176,1.0
0.1,6,0.1441952606371669,0.02042142310000017,0.07872572753948004,0.2539643485007167,0.9999999999999998
0.2,6,0.5566489928781645,0.43995419840000005,0.48418681367821576,0.6643541947211722,0.9999999999999999
