sample,file_index,event,track_index,pdg,truth_pt_GeV,truth_phi,truth_tanlambda,truth_omega,d0_mm,z0_mm,phi_mrad,tanlambda,omega_rel_pct,pt_rel_pct,chi2,ndf,chi2_ndf
electron,1,0,0,11,2.0003590347924276,-0.8959747300154015,0.08748865881388518,-0.0004499192316710239,0.00553525798022747,0.001413351739756763,-0.3634943956092318,0.00015144041354325788,-0.07607222643466748,0.07613014032740968,459.9234313964844,460,0.9998335465140965
electron,1,1,0,11,2.000359006996882,2.4010387224514655,0.08748866002956444,-0.0004499192379227769,-0.0015454544918611646,0.008276470005512238,-0.2225202877692567,-0.00030543785491997377,-0.16464923400633089,0.16492077479874037,436.02154541015625,460,0.9478729248046875
electron,1,2,0,11,2.0003589489656446,-2.0999856211236003,0.08748866256764654,-0.00044991925097511944,0.004376811906695366,-0.0013199576642364264,-0.6594441840168663,-0.00027619686415913947,0.19852536293957318,-0.19813202062652768,464.703857421875,460,1.0102257770040761
electron,1,3,0,11,2.000358945512278,2.6645029082310883,0.08748866271868463,-0.00044991925175184806,0.030534982681274414,-0.0013642720878124237,-1.8363490117279113,0.00015171218022588806,11.161706406215217,-10.040963535974601,663.883056640625,460,1.4432240361752717
electron,1,4,0,11,2.0003589687690058,-0.8326478130890945,0.0874886617015172,-0.0004499192465209622,0.012042592279613018,-0.012277532368898392,-0.7579796240707593,0.00031692982213010756,-0.009881535388451566,0.009882511932360992,459.3686218261719,460,0.9986274387525476
electron,1,5,0,11,2.0003590035647205,-0.8848365061232122,0.08748866017967512,-0.00044991923869473614,0.0064047351479530334,0.0028224405832588673,-0.2150423577753635,-0.00035349424988080635,3.9235814774990363,-3.7754486726850818,595.870849609375,460,1.2953714121942934
electron,1,6,0,11,2.000358901570459,2.457909117751261,0.08748866464054525,-0.00044991926163520966,0.011374842375516891,-0.008822602219879627,-1.1251078177894058,0.0007029936178928609,1.2163824851553828,-1.201764433078591,466.4034423828125,460,1.0139205269191576
electron,1,7,0,11,2.0003589794579737,2.1310325972748485,0.08748866123401935,-0.0004499192441168075,0.0019076642347499728,-0.004700999706983566,-0.37707015998034166,0.0005378549054879389,-0.0645348676980152,0.06457654208399972,439.4274597167969,460,0.9552770863408627
electron,1,8,0,11,2.000358985765736,0.4569041852948749,0.08748866095814004,-0.0004499192426980703,-0.0011872716713696718,-0.005217277444899082,0.09189796470759903,0.0004657186600278418,-0.10196879651188552,0.10207287899815728,433.79608154296875,460,0.943034959876019
electron,1,9,0,11,2.00035899486061,2.4952141066495193,0.08748866056036225,-0.00044991924065245804,0.008756513707339764,0.004158527124673128,-0.4507323209059777,-0.00017758642267456937,-0.24537248223408265,0.24597603974851429,418.6474304199219,458,0.9140773589954626
