seed,entry,category,transition_count,ebrem_transition_count,ebrem_step_count,max_frac,sum_loss_GeV,cumulative_frac,lcio_residual_pct,gsf_residual_pct
1,0,light_ebrem,232,2,2,0.0007222826270406831,0.0026531219482421875,0.0013216366179173988,0.0068956270675361265,0.19538611157612562
1,1,light_ebrem,232,2,2,0.000647328370601377,0.0017502307891845703,0.0008724259571123438,0.09562344368319027,0.24513064510088398
1,2,light_ebrem,232,1,1,0.0023714125862090074,0.0047566890716552734,0.0023714125862089874,-0.26718107336875585,0.20267143417244404
1,3,hard_ebrem,232,3,3,0.08955072921336277,0.2095203399658203,0.10439316509810925,-10.103202869446028,-0.37488565188382844
1,4,no_ebrem,232,0,0,0.0,0.0,0.0,-0.05930946861703456,0.1945738085150969
1,5,light_ebrem,232,2,2,0.0405134965201022,0.0821307897567749,0.04092115150462872,-3.8420200937867133,1.4913481817250276
1,6,light_ebrem,232,1,1,0.01347193009263363,0.02703237533569336,0.013471930092633588,-1.2701096832020673,-0.9309341876281924
1,7,light_ebrem,232,1,1,1.30776020148067e-06,2.6226043701171875e-06,1.3077602014632816e-06,-0.004652744280911562,0.2788830850755905
1,8,light_ebrem,232,1,1,0.000241001367813483,0.00048351287841796875,0.00024100136781346482,0.03281796637404909,1.2614553811636886
1,9,no_ebrem,231,0,0,0.0,0.0,0.0,0.1766220242033915,0.47645166446721954
2,0,light_ebrem,232,2,2,3.1232083115817114e-05,7.605552673339844e-05,3.7893789551324275e-05,0.020284724537203813,0.18948478772823338
2,1,hard_ebrem,233,1,2,0.7223315616110642,1.4481024742126465,0.7223315616110642,0.09025266218713278,0.14827377024969374
2,2,hard_ebrem,232,2,2,0.34253945662169477,0.7507157325744629,0.37440264582583194,-37.38961630990637,-37.39924724100481
2,3,light_ebrem,232,3,3,0.007109838995121648,0.026029467582702637,0.013009834024348965,-0.8700395187035197,-0.6014133246716938
2,4,light_ebrem,232,1,1,0.0015971837064434843,0.0032029151916503906,0.0015971837064434613,-0.054123883768354954,0.21615304949817285
2,5,light_ebrem,231,2,2,0.05218073736056512,0.10472643375396729,0.05218765827783878,-5.459685170433002,0.19342905353114076
2,6,no_ebrem,232,0,0,0.0,0.0,0.0,-0.69973584417019,1.244910799249487
2,7,light_ebrem,232,1,1,0.07387627697350288,0.14832627773284912,0.07387627697350285,-7.422033213044438,-7.326337926910413
2,8,light_ebrem,232,2,2,0.051899843701914625,0.12440574169158936,0.06203710225256298,-5.589388162216741,-5.308641634271447
2,9,no_ebrem,232,0,0,0.0,0.0,0.0,-0.31885634915455147,-0.36749668250321815
3,0,no_ebrem,231,0,0,0.0,0.0,0.0,-0.08821473733921179,-0.09063137025880054
3,1,light_ebrem,232,2,2,0.002658002876967157,0.005541801452636719,0.002762696449088997,-0.05758315535858114,0.07300049912700025
3,2,no_ebrem,232,0,0,0.0,0.0,0.0,0.014340309255681031,0.23312291973732438
3,3,hard_ebrem,232,1,1,0.13090152194898375,0.26229655742645264,0.13090152194898375,-0.0808865848654793,0.1388812438938727
3,4,light_ebrem,232,1,1,2.1751734968303088e-05,4.363059997558594e-05,2.1751734968322722e-05,0.3606741619928525,0.3954700770989634
3,5,no_ebrem,233,0,0,0.0,0.0,0.0,0.00828109294422907,0.7405168907104028
3,6,hard_ebrem,232,2,2,0.42137059247642866,0.8456066846847534,0.42147867301672615,-42.20647853434931,-42.21548441111142
3,7,light_ebrem,234,1,1,0.016294898330610576,0.0326918363571167,0.016294898330610597,-1.4743436595748611,-0.04238746121489567
