file_index,event_id,n_comps,n_hits,n_hits_total,charge,gsf_p_header,gsf_chi2_header,gsf_ndf_header,truth_pt,lcio_pt,gsf_pt,truth_eta,lcio_eta,gsf_eta,truth_phi,lcio_phi,gsf_phi,lcio_d0,gsf_d0,lcio_z0,gsf_z0,truth_p,lcio_p,gsf_p,lcio_chi2,lcio_ndf,gsf_chi2,gsf_ndf,splits,reductions,peak_comps,final_comps,best_weight,mean_weight,weight_ratio,max_tX0,total_tX0,entry_index,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
1,18,25,233,233,-1,2.0,0.0,458.0,2.0004,2.0021,2.002,0.0874,0.088,-0.0424,-3.0387,-3.0337,-2.884,0.0067,-6.0287,-0.0055,5.1,2.008,2.01,2.004,572.4,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,18,1,0.06017817715801044,0.06017817715801044,0.12062060832977295
1,19,25,233,233,-1,2.0,0.0,458.0,2.0004,1.9986,1.9985,0.0874,0.0874,-0.0492,-0.9405,-0.9354,-0.2385,0.0001,-14.4872,-0.0027,2.8165,2.008,2.006,2.001,477.2,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,19,1,0.011310889630258614,0.011310889630258614,0.022680163383483887
1,20,25,234,234,-1,2.01,0.0,460.0,2.0004,2.0,2.0001,0.0874,0.0877,0.0821,-0.2918,-0.2867,-1.1948,-0.0002,32.189,-0.0057,0.7524,2.008,2.008,2.007,513.3,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0205,20,1,0.0008002048600527223,0.0008002048600527223,0.0016047954559326172
1,22,5,232,232,-1,59.27,252.8,456.0,2.0004,1.9966,1.9971,0.0874,0.0871,4.0833,1.5305,1.5355,0.5167,0.0044,-1031.7084,0.0042,-1116.297,2.008,2.004,59.271,404.0,458,252.8,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0195,22,1,0.00010868849923628687,0.00010868849923628687,0.0002181529998779297
1,24,5,233,233,-1,41.16,349.3,458.0,2.0004,1.971,1.9708,0.0874,0.088,-3.7317,-1.5867,-1.5795,-2.4803,-0.0044,-1202.5728,0.0006,992.3448,2.008,1.979,41.164,484.6,460,349.3,458,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0199,24,1,0.013678554765011675,0.013678554765011675,0.027448296546936035
1,26,25,234,234,-1,1.91,0.0,460.0,2.0004,1.8554,1.8554,0.0874,0.088,0.2497,-0.55,-0.5448,-1.3968,0.0002,12.4342,0.0006,-1.3037,2.008,1.863,1.914,490.8,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0205,26,2,0.07259457680846426,0.06820865978108304,0.14575159549713135
1,29,25,235,235,-1,2.12,0.0,462.0,2.0004,1.9708,1.9704,0.0874,0.0907,-0.3908,-2.6428,-2.6381,2.9404,0.0085,25.4919,0.0039,16.9037,2.008,1.979,2.123,546.6,464,0.0,462,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0221,29,3,0.010606822564125151,0.0060666886777076545,0.02127838134765625
1,30,25,234,234,-1,2.05,0.0,460.0,2.0004,1.9601,1.9602,0.0874,0.0873,0.3002,-0.8095,-0.8044,-0.6473,0.0033,-2.6798,-0.004,-3.5391,2.008,1.968,2.049,407.3,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0205,30,1,0.018777358782905207,0.018777358782905207,0.03767812252044678
1,31,25,235,235,-1,2.0,0.0,462.0,2.0004,2.0009,2.0008,0.0874,0.0874,-0.0247,-3.1171,-3.1118,2.5455,0.0029,24.3776,-0.0042,4.4396,2.008,2.009,2.001,445.1,464,0.0,462,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0233,31,1,0.000630149626638099,0.000630149626638099,0.0012631416320800781
1,33,25,233,233,-1,2.16,0.0,458.0,2.0004,1.9966,1.9968,0.0874,0.0873,0.4072,2.5055,2.5109,3.0265,-0.0029,-8.2447,-0.0093,-4.5882,2.008,2.004,2.165,479.2,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,33,3,0.04748995439731074,0.04702286554666257,0.09517478942871094
1,36,25,233,233,-1,1.97,0.0,458.0,2.0004,1.9694,1.9693,0.0874,0.0871,0.016,-0.6235,-0.6186,-2.0195,0.0033,16.3382,0.0038,1.4135,2.008,1.977,1.97,501.4,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,36,1,0.014197136581404202,0.014197136581404202,0.028499603271484375
1,37,5,232,232,-1,108.74,255.3,456.0,2.0004,1.9982,1.9974,0.0874,0.0869,4.6902,1.6533,1.659,0.745,-0.0066,461.7885,-0.002,-1698.3065,2.008,2.006,108.741,456.1,458,255.3,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0185,37,1,0.00020453754655314071,0.00020453754655314071,0.0004100799560546875
1,44,5,232,232,-1,31.55,327.3,456.0,2.0004,1.9235,1.9223,0.0874,0.0776,-3.4902,2.7097,2.7213,2.9971,0.004,-4.6616,0.0028,262.3487,2.008,1.929,31.547,510.4,458,327.3,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0195,44,2,0.03955093842230406,0.03894112760765289,0.07934951782226562
1,45,5,233,233,-1,62.26,357.6,458.0,2.0004,1.998,1.9975,0.0874,0.0877,-4.1323,-0.0331,-0.028,2.8216,-0.0051,-197.0959,-0.0016,121.8591,2.008,2.006,62.258,536.2,460,357.6,458,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0199,45,1,0.0027515432630756953,0.0027515432630756953,0.005518674850463867
1,47,5,232,232,-1,106.67,246.8,456.0,2.0004,2.0015,2.0019,0.0874,0.0871,-4.6687,1.7148,1.7196,1.8717,-0.0064,-696.1257,0.0019,2446.009,2.008,2.009,106.673,420.1,458,246.8,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0185,47,1,0.0013630977870573435,0.0013630977870573435,0.002735137939453125
1,48,25,233,233,-1,1.98,0.0,458.0,2.0004,1.9369,1.937,0.0874,0.0878,0.2208,1.3233,1.3282,0.5692,0.0105,29.3703,0.0024,-4.4064,2.008,1.944,1.984,535.5,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,48,1,0.03339443583737922,0.03339443583737922,0.06699323654174805
1,52,25,233,233,-1,2.03,0.0,458.0,2.0004,1.9989,1.9986,0.0874,0.0875,-0.1808,0.6001,0.6055,-1.2939,-0.0029,59.2425,-0.0062,6.6938,2.008,2.007,2.031,536.0,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,52,2,0.00021145668678090868,0.0001170757960589075,0.0004241466522216797
1,54,5,233,233,-1,44.15,271.4,458.0,2.0004,2.0016,2.002,0.0874,0.0878,3.7861,2.3365,2.3413,1.9009,0.0028,7.0011,0.0021,-329.1953,2.008,2.009,44.149,446.9,460,271.4,458,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0189,54,1,0.03391315411167806,0.03391315411167806,0.06799983978271484
1,55,25,234,234,-1,2.19,0.0,460.0,2.0004,1.9957,1.9952,0.0874,0.0867,-0.4352,0.4936,0.4988,0.0586,0.0014,16.2274,0.0042,19.5059,2.008,2.003,2.187,450.2,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0205,55,2,0.002635871955530278,0.0025519786211781748,0.0052890777587890625
1,58,25,234,234,-1,2.09,0.0,460.0,2.0004,1.9856,1.9852,0.0874,0.0877,-0.3276,-1.4471,-1.4424,-1.9654,0.002,19.7818,0.0022,15.6203,2.008,1.993,2.093,435.8,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0217,58,1,0.0018835161391376198,0.0018835161391376198,0.0037801265716552734
1,60,25,234,234,-1,2.4,0.0,460.0,2.0004,2.0045,2.0049,0.0874,0.0875,0.6192,-0.6569,-0.6527,-1.5649,0.0008,13.0867,-0.0029,-5.2429,2.008,2.012,2.402,457.6,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0217,60,2,0.010480228965624505,0.007205236695707495,0.021007895469665527
1,62,25,234,234,-1,2.0,0.0,460.0,2.0004,2.0027,2.0026,0.0874,0.0881,-0.0215,-1.5413,-1.5366,-2.1787,-0.001,24.9447,-0.0035,4.3391,2.008,2.01,2.003,531.7,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0217,62,1,0.0006045876625364599,0.0006045876625364599,0.0012125968933105469
1,63,25,233,233,-1,2.03,0.0,458.0,2.0004,2.0003,2.0001,0.0874,0.0877,-0.1728,2.2634,2.2675,2.1519,-0.0026,2.4386,-0.0004,5.734,2.008,2.008,2.03,486.7,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,63,1,0.03377685986969714,0.03377685986969714,0.0677255392074585
1,64,25,233,233,-1,2.23,0.0,458.0,2.0004,1.9968,1.9962,0.0874,0.0851,-0.4756,2.1958,2.1999,1.579,0.002,12.9397,0.0013,11.2394,2.008,2.004,2.226,503.3,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,64,4,0.024365051613826516,0.01985623110418,0.04884743690490723
1,67,25,233,233,-1,2.07,0.0,458.0,2.0004,1.9692,1.9694,0.0874,0.0876,0.3187,1.1033,1.1085,0.1124,0.0038,24.525,0.0066,-3.984,2.008,1.977,2.07,492.4,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,67,2,0.015292775363974553,0.011186308314526494,0.030690908432006836
1,68,5,232,232,-1,97.66,206.9,456.0,2.0004,1.9986,1.9982,0.0874,0.0873,-4.5823,1.745,1.7512,-1.3723,0.0014,-475.0985,-0.0005,33.2955,2.008,2.006,97.665,408.2,458,206.9,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0185,68,1,0.0013251701804996019,0.0013251701804996019,0.002660036087036133
1,69,25,234,234,-1,2.31,0.0,460.0,2.0004,2.0003,2.0007,0.0874,0.087,0.5493,0.2373,0.2425,-0.4816,-0.0029,26.1263,-0.0011,-16.0324,2.008,2.008,2.31,473.6,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0205,69,1,0.00025187946318994126,0.00025187946318994126,0.0005049705505371094
1,71,25,234,234,-1,2.21,0.0,460.0,2.0004,1.9962,1.9965,0.0874,0.0877,0.463,2.626,2.6303,2.2922,0.0042,5.4346,-0.0061,-6.057,2.008,2.004,2.214,469.1,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0205,71,1,0.0004026721274866807,0.0004026721274866807,0.0008082389831542969
1,72,25,233,233,-1,2.41,0.0,458.0,2.0004,1.9963,1.9968,0.0874,0.0871,0.6294,-1.0119,-1.0083,-1.0617,0.0002,1.0827,0.0002,-12.8553,2.008,2.004,2.406,461.5,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,72,1,0.00044805245621926115,0.00044805245621926115,0.0008995532989501953
1,74,25,233,233,-1,2.0,0.0,458.0,2.0004,2.0024,2.0023,0.0874,0.0877,-0.0426,-2.8641,-2.8591,3.1158,0.0014,12.1881,0.0005,5.2348,2.008,2.01,2.004,462.7,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,74,1,0.004996330737883636,0.004996330737883636,0.010020256042480469
1,75,25,233,233,-1,2.15,0.0,458.0,2.0004,1.9694,1.9697,0.0874,0.0874,0.4235,-2.0741,-2.0693,3.0276,0.0031,28.0211,0.0019,-4.9902,2.008,1.977,2.149,456.0,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,75,2,0.01563108165200011,0.01556194036805425,0.03135180473327637
1,76,5,73,73,-1,11.88,0.0,138.0,2.0004,1.9466,1.9517,0.0874,0.0873,2.4925,-0.3253,-0.3208,-2.6571,0.0038,-48.5772,-0.0041,-0.317,2.008,1.954,11.88,354.9,140,0.0,138,1,0,5,5,0.5598,0.2,2.8,0.0032,0.0127,76,2,0.08376421492490249,0.0837491843368422,0.16799569129943848
1,77,25,233,233,-1,2.0,0.0,458.0,2.0004,1.9835,1.9835,0.0874,0.0865,0.1451,0.0384,0.0434,0.4866,0.0022,-17.672,0.0058,-2.1379,2.008,1.991,2.004,437.7,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,77,1,0.009901383061272306,0.009901383061272306,0.019865989685058594
