sample,quantity,count,mean,std,median,q16,q84,rms
electron,d0_mm,1000,4.2244378054507035,26.9325422078243,0.002701811958104372,-0.005515077281743288,0.017201907634735107,27.248529184500626
electron,z0_mm,1000,0.16113182384554778,1.4775127471259812,0.0003720093227457255,-0.007597971707582474,0.00835083607584238,1.4855384002635665
electron,phi_mrad,1000,-13.620172804681902,74.11107129546816,-0.1899229155006843,-1.1859808016771467,0.3641051222124947,75.31578549615479
electron,tanlambda,1000,-1.7737565947121696e-05,0.0008060359438002006,2.3332146698445966e-06,-0.0004738786852414062,0.0005139765816385553,0.0008058280647885818
electron,omega_rel_pct,1000,14.980678449593958,95.14604807470484,0.04207383860695225,-0.11520647888583,5.332391444263574,96.2711712849695
electron,pt_rel_pct,1000,-4.847042748147236,14.00695250141734,-0.042056143649661856,-5.062442108162973,0.11533935881985073,14.815274113594768
electron,chi2_ndf,1000,1.1750017408076252,0.7995835770285407,1.02551915154458,0.9412747988493546,1.169357071586277,1.4210290826221863
muon,d0_mm,1000,0.00014930944038451345,0.0075915062029291895,0.0004305731563363224,-0.00644338944926858,0.0072109510749578465,0.007589178398988337
muon,z0_mm,1000,-0.00010709568150059568,0.007683773344970824,-0.00013724474047194235,-0.007135343607515097,0.006960334498435259,0.007680677179068477
muon,phi_mrad,1000,-0.018558348594244094,0.5367731932908938,-0.018034485969459224,-0.48566417768459047,0.4206702314689448,0.5368256214798367
muon,tanlambda,1000,4.713411559826672e-06,0.0005646038943867557,-2.3048367416282634e-05,-0.0004843619522582032,0.00047684777410927134,0.000564341205519911
muon,omega_rel_pct,1000,-0.05276391042198094,0.17588497115142387,-0.06146259791128966,-0.1835387931103268,0.06365765013525669,0.18354459348310725
muon,pt_rel_pct,1000,0.053099324014272926,0.17495509757356933,0.06150039766861409,-0.06361715292087282,0.1838762774242014,0.18275178546756507
muon,chi2_ndf,1000,1.0261781848899865,0.12858312514927264,1.0100214087444803,0.9366899918265965,1.0992854693868885,1.03419473678664
