sample,tracker_ebrem_category,quantity,count,mean,std,median,q16,q84,rms
electron,no_tracker_ebrem,d0_mm,368,0.000766378424347265,0.007481940200414612,0.000494358959258534,-0.00614944078028202,0.00811723947525024,0.007510968448732593
electron,no_tracker_ebrem,z0_mm,368,-0.0007476427371151974,0.006857561457027842,-0.0007013083959463984,-0.00780621413141489,0.005955546982586381,0.006888928098807049
electron,no_tracker_ebrem,phi_mrad,368,-0.06795762376747926,0.5642175711568237,-0.02986459853271395,-0.5416324110917548,0.4296527783553738,0.5675338297355959
electron,no_tracker_ebrem,tanlambda,368,4.12644988022772e-05,0.0004764810331634058,1.784997889868467e-05,-0.0004250577828984631,0.0004977098607811302,0.00047761908790691307
electron,no_tracker_ebrem,omega_rel_pct,368,0.4364931003325998,5.046802571362216,-0.04606838218985851,-0.1499419956307631,0.10884481685988086,5.05880715949323
electron,no_tracker_ebrem,pt_rel_pct,368,-0.28785538908905434,2.9762152202398164,0.04608961503817105,-0.10872646300108398,0.15016716289497117,2.986075601609367
electron,no_tracker_ebrem,chi2_ndf,368,1.0294388763573055,0.11920598589893978,1.0181584897248641,0.9358471990715332,1.0922260318052643,1.0362991136333315
electron,light_tracker_ebrem,d0_mm,458,0.10670133216826877,2.119929855463568,0.0023348151007667184,-0.005873120669275522,0.011478478573262691,2.120300760575689
electron,light_tracker_ebrem,z0_mm,458,0.005838322602147329,0.10691994014198293,0.0008117225661408156,-0.007582461051642894,0.007826482728123665,0.10696260649434741
electron,light_tracker_ebrem,phi_mrad,458,-0.9938190489197728,11.517671748984878,-0.17214292179813795,-0.8051753452016186,0.37537653620286265,11.547934673918004
electron,light_tracker_ebrem,tanlambda,458,-4.4417349950916815e-05,0.0007833829910590464,-3.7924426440891223e-05,-0.00047220212252955027,0.0004656404713798956,0.0007837868840047593
electron,light_tracker_ebrem,omega_rel_pct,458,6.892221158276461,76.1524483060994,0.11151740769768903,-0.09551501068541662,2.8873263056784664,76.38086211123091
electron,light_tracker_ebrem,pt_rel_pct,458,-1.8929850614110952,7.58583217511142,-0.11139318439918748,-2.8062951114067,0.09560633068902832,7.810416023160958
electron,light_tracker_ebrem,chi2_ndf,458,1.0812606132616556,0.2273178070039267,1.0162288557106944,0.9395900310255726,1.1691350356392238,1.1048461771606481
electron,hard_tracker_ebrem,d0_mm,174,23.995899816422277,60.83397022521212,0.033612025901675224,0.0005326744681224226,43.2960404968261,65.23270910476619
electron,hard_tracker_ebrem,z0_mm,174,0.9122586472472569,3.448013033134297,0.002695324830710888,-0.006934401597827673,1.2457851457595817,3.5570610501580298
electron,hard_tracker_ebrem,phi_mrad,174,-75.51721422258743,163.39916513413405,-2.5720510792208717,-148.8825147988876,-0.03426104063870562,179.57920990848066
electron,hard_tracker_ebrem,tanlambda,174,-7.229744384390693e-05,0.001279319290530535,3.296498800454267e-05,-0.0008151442151491467,0.0007246872095899503,0.0012776848938328828
electron,hard_tracker_ebrem,omega_rel_pct,174,67.03110171368358,183.17875393241786,14.812757822330118,0.016698988110547493,100.08294576404964,194.5630560734833
electron,hard_tracker_ebrem,pt_rel_pct,174,-22.265085096759666,24.283264794344227,-12.901664151497926,-50.020028282535876,-0.01669608294880485,32.89410304986311
electron,hard_tracker_ebrem,chi2_ndf,174,1.7296027208867726,1.7741291208913448,1.0694897195567257,0.9756433371619113,1.9305480957031242,2.4740595047493867
