tx0_low,tx0_high,tx0_center,count,mean_minus_log_z,median_minus_log_z,raw_sigma_minus_log_z,central68_sigma_minus_log_z,mad_sigma_minus_log_z,trimmed_1_99_sigma_minus_log_z,q001_minus_log_z,q01_minus_log_z,q16_minus_log_z,q84_minus_log_z,q99_minus_log_z,q999_minus_log_z,identity_sigma_z,central68_to_identity_sigma
0.0,0.0001,5e-05,2423449,4.7991703847404236e-06,7.133770927217092e-07,0.0005984448616873061,5.944895461278472e-07,3.5556706764848864e-07,3.2438005944844575e-06,0.0,1.189107298893236e-07,3.569905199173015e-07,1.5459696121729959e-06,3.544363026724123e-05,0.00026098357561726973,1e-06,0.5944895461278472
0.0001,0.0005,0.00022360679774997898,40940,9.327405808195671e-05,1.4504901579617002e-05,0.003104301083684956,3.2687154020714335e-05,1.3022706402248589e-05,9.661136588672835e-05,1.8358992881603669e-06,2.849172097467007e-06,5.98838221607449e-06,7.136269025750316e-05,0.0008362215700795372,0.005484592481359306,1e-06,32.68715402071434
0.0005,0.002,0.001,40021,0.00013383771039902342,1.1638960398636021e-05,0.011400841269841899,5.166639118382695e-06,3.5214961685576794e-06,3.736725019507864e-05,5.700643991797134e-06,6.650928195272429e-06,8.907544004497217e-06,1.9240822241262608e-05,0.0005111791318180845,0.009212094911701576,1e-06,5.166639118382696
0.002,0.005,0.0031622776601683794,9588,0.000895840108599193,9.240607917453627e-05,0.009397738059868467,2.8387547652349296e-05,1.77858839916841e-05,0.0012065248234776325,5.0735391613178613e-05,6.946577203664571e-05,7.969829626256761e-05,0.0001364733915672662,0.019756108859326015,0.10602687037553034,1e-06,28.387547652349298
0.005,0.01,0.007071067811865475,28849,0.0016484505848431438,0.00018319959932662242,0.017295175295013177,9.676309490152127e-05,5.174974198401449e-05,0.0021203464141395347,7.918077744525171e-05,0.0001256032953316532,0.0001502783597682151,0.00034380454957125766,0.029074897273122704,0.22273238985324725,1e-06,96.76309490152128
0.01,0.015,0.01224744871391589,18940,0.0017017456453341945,0.00028153794152572625,0.017881395415503286,0.00014530372016169552,0.00015197533646445492,0.0016090200907079655,0.00011944032528023262,0.00012694874483977725,0.00015113921741722672,0.00044174665774061774,0.023932829699872094,0.2289344445866798,1e-06,145.30372016169554
0.015,0.02,0.017320508075688773,2168,0.010181245262861037,0.0004998042064440031,0.06275196192455938,0.0016707335359208311,0.00027456698020288426,0.018422184736355374,0.0002533854832272433,0.000273201581586574,0.0003364472736525668,0.003677914345494229,0.2172043492282806,0.9012196596174387,1e-06,1670.7335359208312
0.02,0.03,0.02449489742783178,431,0.06256152787694164,0.004648144251109035,0.2946726385176448,0.014754480554060536,0.00610291734987129,0.11084150875850848,0.0004061287222899365,0.0004211872011400737,0.0007174739280084705,0.030226435036129543,1.32792292937035,3.234720780532031,1e-06,14754.480554060536
