tx0,component,weight,mean_z,variance_z,sigma_z
0.0,0,1.0,1.0,1e-12,1e-06
0.0,1,0.0,1.0,1e-12,1e-06
0.0,2,0.0,1.0,1e-12,1e-06
0.0,3,0.0,1.0,1e-12,1e-06
0.0,4,0.0,1.0,1e-12,1e-06
5e-07,0,0.999965097820933,0.9999999811391315,1.0356998998941565e-12,1.017693421367239e-06
5e-07,1,3.218504545735667e-05,0.9999938688500061,1.1527513262058955e-12,1.073662575582243e-06
5e-07,2,1.224565526625023e-06,0.999761796357903,1.2045743814416144e-12,1.0975310389422316e-06
5e-07,3,7.957614364937018e-07,0.9989269820354134,1.236570057421925e-12,1.1120117164049688e-06
5e-07,4,6.968066464633969e-07,0.9954228065295083,1.2789078796470559e-12,1.1308880933350815e-06
5.231110298002808e-07,0,0.9999634845703321,0.9999999802673433,1.0373804950719776e-12,1.018518775021834e-06
5.231110298002808e-07,1,3.36727045467334e-05,0.9999935854556256,1.1603504593849863e-12,1.0771956458253006e-06
5.231110298002808e-07,2,1.2811674673814782e-06,0.9997507860949609,1.2149822100942827e-12,1.1022623145577838e-06
5.231110298002808e-07,3,8.325431690391422e-07,0.9988773849351018,1.248766574831983e-12,1.1174822481059745e-06
5.231110298002808e-07,4,7.290144848062956e-07,0.995211239220112,1.2935332419850713e-12,1.137336028614706e-06
5.472902989974217e-07,0,0.9999617967519656,0.9999999793552593,1.03914168992573e-12,1.0193829947206938e-06
5.472902989974217e-07,1,3.522912630320469e-05,0.9999932889621732,1.1683544671084798e-12,1.0809044671516904e-06
5.472902989974217e-07,2,1.3403856664170883e-06,0.9997392669149889,1.225967380024328e-12,1.107234112563521e-06
5.472902989974217e-07,3,8.710250290185119e-07,0.9988254953546636,1.2616556254409836e-12,1.1232344481189062e-06
5.472902989974217e-07,4,7.627110357726866e-07,0.9949898928339311,1.3090136780212798e-12,1.1441213563347552e-06
5.725871838164898e-07,0,0.999960030919158,0.9999999784010168,1.040987491457533e-12,1.020287945365196e-06
5.725871838164898e-07,1,3.685748907886713e-05,0.9999929787641828,1.1767875407803948e-12,1.0847983871579064e-06
5.725871838164898e-07,2,1.4023410525779578e-06,0.9997272152947937,1.2375666358679456e-12,1.1124597232565077e-06
5.725871838164898e-07,3,9.112855998233866e-07,0.9987712073309457,1.2752828562009134e-12,1.1292842229487284e-06
5.725871838164898e-07,4,7.979651107261779e-07,0.994758315361896,1.3254079939594958e-12,1.1512636509329631e-06
5.990533427533734e-07,0,0.9999581834659211,0.9999999774026673,1.0429221193065065e-12,1.0212355846260482e-06
5.990533427533734e-07,1,3.856111813579758e-05,0.9999926542282024,1.1856755701277726e-12,1.0888873082774787e-06
5.990533427533734e-07,2,1.4671601442905304e-06,0.9997146066238916,1.2498195205656561e-12,1.1179532729795356e-06
5.990533427533734e-07,3,9.534070971315567e-07,0.9987144100029599,1.2896975427368813e-12,1.1356485119687699e-06
5.990533427533734e-07,4,8.34848701633332e-07,0.9945160339021462,1.34277991167844e-12,1.1587838071350669e-06
6.267428220660369e-07,0,0.9999562506195905,0.9999999763581721,1.0449500182893175e-12,1.0222279678669124e-06
6.267428220660369e-07,1,4.0343492436534796e-05,0.9999923146915005,1.1950462862649892e-12,1.093181726093603e-06
6.267428220660369e-07,2,1.534975307923499e-06,0.9997014151542515,1.2627686324152163e-12,1.1237297862098416e-06
6.267428220660369e-07,3,9.97475536798772e-07,0.9986549873854949,1.304952937687246e-12,1.142345367079171e-06
6.267428220660369e-07,4,8.734371280776812e-07,0.9942625536943237,1.3611985650702552e-12,1.166704146332846e-06
6.557121661417975e-07,0,0.999954228433122,0.9999999752653981,1.0470758717944597e-12,1.0232672533578214e-06
6.557121661417975e-07,1,4.220825174843113e-05,0.9999919594607131,1.2049294190263784e-12,1.0976927707816874e-06
6.557121661417975e-07,2,1.6059250280917302e-06,0.9996876139477154,1.27645990997294e-12,1.129805253117961e-06
6.557121661417975e-07,3,1.0435809105107874e-06,0.9985928181322636,1.321106658392712e-12,1.1493940396542483e-06
6.557121661417975e-07,4,9.138091910690314e-07,0.9939973571092277,1.3807390551967589e-12,1.1750485331239552e-06
6.860205329660185e-07,0,0.9999521127770297,0.9999999741221138,1.0493046160983045e-12,1.024355707797982e-06
6.860205329660185e-07,1,4.4159204076382714e-05,0.9999915878104269,1.2153568702056947e-12,1.1024322519800002e-06
6.860205329660185e-07,2,1.6801541904542232e-06,0.9996731748209884,1.2909429482626342e-12,1.1361967031560311e-06
6.860205329660185e-07,3,1.0918173695544276e-06,0.9985277752881043,1.3382211190217326e-12,1.156815075550856e-06
6.860205329660185e-07,4,9.560473339621673e-07,0.9937199025917695,1.4014830722269383e-12,1.1838425031341536e-06
7.177298149279829e-07,0,0.9999498993309552,0.9999999729259846,1.0516414556771883e-12,1.0254957121690897e-06
7.177298149279829e-07,1,4.620033343911463e-05,0.9999911989816991,1.2263629045527596e-12,1.1074127074188555e-06
7.177298149279829e-07,2,1.7578143775835313e-06,0.9996580682880851,1.3062713502342293e-12,1.142922285299499e-06
7.177298149279829e-07,3,1.1422834170829007e-06,0.9984597260297257,1.3563640129582615e-12,1.164630419042136e-06
7.177298149279829e-07,4,1.0002378108135244e-06,0.9934296235550689,1.4235195933293291e-12,1.1931134033818114e-06
7.509047652106843e-07,0,0.9999475835748448,0.9999999716745679,1.0540918795967005e-12,1.0266897679419526e-06
7.509047652106843e-07,1,4.8335808004903224e-05,0.9999907921805066,1.2379843606198884e-12,1.112647455674927e-06
7.509047652106843e-07,2,1.8390641785109222e-06,0.9996422635001176,1.3225031179719484e-12,1.1500013556391786e-06
7.509047652106843e-07,3,1.1950821092680402e-06,0.9983885313944705,1.375608852135681e-12,1.1728635266456541e-06
7.509047652106843e-07,4,1.046470862519683e-06,0.9931259272234332,1.4469456671071225e-12,1.2028905466031073e-06
7.856131300226e-07,0,0.9999451607797173,0.9999999703653081,1.0566616790669516e-12,1.027940503661059e-06
7.856131300226e-07,1,5.056998860334728e-05,0.9999903665761252,1.2502608838281146e-12,1.1181506534578043e-06
7.856131300226e-07,2,1.924069512579316e-06,0.9996257281822988,1.3397010887971313e-12,1.157454573103036e-06
7.856131300226e-07,3,1.2503212657501951e-06,0.9983140459965413,1.396035570998535e-12,1.181539491933526e-06
7.856131300226e-07,4,1.0948409010973212e-06,0.9928081934218561,1.4718672968196785e-12,1.2132053811369608e-06
8.219257869414885e-07,0,0.9999426259980089,0.9999999689955317,1.0593569662609882e-12,1.029250681933701e-06
8.219257869414885e-07,1,5.290743763057092e-05,0.9999899212994326,1.2632351844415074e-12,1.123937357881438e-06
8.219257869414885e-07,2,2.013003968265381e-06,0.9996084285680342,1.3579334221588192e-12,1.1653040041803765e-06
8.219257869414885e-07,3,1.3081136898155504e-06,0.9982361177301096,1.4177312039368207e-12,1.190685182546932e-06
8.219257869414885e-07,4,1.1454467024809742e-06,0.9924757733095655,1.4984004365772162e-12,1.2240916781749707e-06
8.599168896527366e-07,0,0.9999399740534693,0.9999999675624412,1.0621841945028485e-12,1.03062320685246e-06
8.599168896527366e-07,1,5.535292836604418e-05,0.9999894554411344,1.2769533235036075e-12,1.130023594224301e-06
8.599168896527366e-07,2,2.1060491576627107e-06,0.999590329329968,1.3772741440738348e-12,1.1735732376267937e-06
8.599168896527366e-07,3,1.3685773987505155e-06,0.9981545874587023,1.4407906463960104e-12,1.2003293907907155e-06
8.599168896527366e-07,4,1.1983916082323167e-06,0.992127988055032,1.5266721169803531e-12,1.235585738417352e-06
8.996640193777969e-07,0,0.9999371995305911,0.9999999660631105,1.065150179942017e-12,1.032061131882224e-06
8.996640193777969e-07,1,5.791145472004521e-05,0.999988968049906,1.2914650302109213e-12,1.1364264297397e-06
8.996640193777969e-07,2,2.203395087349914e-06,0.9995713935078412,1.3978037568887429e-12,1.1822875102481388e-06
8.996640193777969e-07,3,1.4318358648435464e-06,0.9980692886902308,1.4653175114557617e-12,1.2105029993584327e-06
8.996640193777969e-07,4,1.2537837365728463e-06,0.9917641274497354,1.5568217193689985e-12,1.2477266204457603e-06
9.412483433019584e-07,0,0.9999342967635512,0.9999999644944776,1.0682621248424737e-12,1.0335676682455163e-06
9.412483433019584e-07,1,6.0588241431670375e-05,0.9999884581304512,1.3068240546837808e-12,1.1431640541426155e-06
9.412483433019584e-07,2,2.3052405464009865e-06,0.9995515824330155,1.4196099233143243e-12,1.1914738449980025e-06
9.412483433019584e-07,3,1.498018267526567e-06,0.9979800472369992,1.491425095534767e-12,1.2212391639375013e-06
9.412483433019584e-07,4,1.3117362031709315e-06,0.9913834484578544,1.5890024210258911e-12,1.260556393433428e-06
9.847547803249915e-07,0,0.9999312598246402,0.9999999628533391,1.0715276426271603e-12,1.0351461938427637e-06
9.847547803249915e-07,1,6.338875473821826e-05,0.9999879246414691,1.3230885606554286e-12,1.150255867472724e-06
9.847547803249915e-07,2,2.4117935123303646e-06,0.9995308556495083,1.4427882350595346e-12,1.2011612027781843e-06
9.847547803249915e-07,3,1.5672597571709101e-06,0.9978866808599974,1.519237469070503e-12,1.2325735146718442e-06
9.847547803249915e-07,4,1.372367352134113e-06,0.990985173698922,1.6233828374458547e-12,1.2741204171685871e-06
1.0302721744731134e-06,0,0.9999280825121578,0.999999961136344,1.0749547848327554e-12,1.0368002627472445e-06
1.0302721744731134e-06,1,6.631871353773372e-05,0.9999873664935274,1.3403215632488058e-12,1.1577225761160597e-06
1.0302721744731134e-06,2,2.5232715758015523e-06,0.9995091708313787,1.4674430780029514e-12,1.2113806495082176e-06
1.0302721744731134e-06,3,1.6397017310764292e-06,0.9977889988967532,1.5488907106036578e-12,1.244544378720043e-06
1.0302721744731134e-06,4,1.435800997678324e-06,0.9905684898603448,1.66014889225072e-12,1.2884676527762426e-06
1.07789347632641e-06,0,0.9999247583377484,0.9999999593399858,1.0785520701452456e-12,1.0385336153178893e-06
1.07789347632641e-06,1,6.938410106750743e-05,0.9999867825468383,1.3585914177624132e-12,1.1655862978614724e-06
1.07789347632641e-06,2,2.639902384966655e-06,0.9994864836962929,1.493688607729455e-12,1.2221655402315412e-06
1.07789347632641e-06,3,1.7154921222173882e-06,0.9976868018719821,1.5805343057439735e-12,1.2571930264458094e-06
1.07789347632641e-06,4,1.5021666769675575e-06,0.9901325460365464,1.6995059506460603e-12,1.3036510079948776e-06
1.127715932832226e-06,0,0.9999212805131514,0.9999999574605962,1.0823285157041595e-12,1.0403501889768462e-06
1.127715932832226e-06,1,7.259117712238116e-05,0.9999861716089304,1.3779723662598257e-12,1.1738706769741826e-06
1.127715932832226e-06,2,2.7619241103442484e-06,0.9994627479150971,1.5216498514812836e-12,1.2335517222562187e-06
1.127715932832226e-06,3,1.7947857013348144e-06,0.9975798810902409,1.6143327360994118e-12,1.270563944120646e-06
1.127715932832226e-06,4,1.5715999146403296e-06,0.9896764519913419,1.74168125865566e-12,1.3197277214091018e-06
1.1798412858921028e-06,0,0.9999176419363385,0.9999999554943373,1.08629367088266e-12,1.042254129702857e-06
1.1798412858921028e-06,1,7.594649083780696e-05,0.9999855324322142,1.3985451497735108e-12,1.1826010103891805e-06
1.1798412858921028e-06,2,2.889585931184815e-06,0.9994379150172082,1.5514639551895314e-12,1.2455777595917212e-06
1.1798412858921028e-06,3,1.8777443929921523e-06,0.9974680182097536,1.6504672875262177e-12,1.2847051364131062e-06
1.1798412858921028e-06,4,1.6442424995630763e-06,0.9891992763399964,1.7869267379492086e-12,1.3367597906689177e-06
1.2343759801278108e-06,0,0.9999138351770114,0.999999953437194,1.090457653772257e-12,1.0442498042960108e-06
1.2343759801278108e-06,1,7.945689406376559e-05,0.9999848637114338,1.420397695118222e-12,1.191804386264047e-06
1.2343759801278108e-06,2,3.023148544316984e-06,0.999411934291633,1.583281597342106e-12,1.258285181245534e-06
1.2343759801278108e-06,3,1.9645376062396564e-06,0.9973509847965373,1.68913811214063e-12,1.299668462393633e-06
1.2343759801278108e-06,4,1.7202427743756574e-06,0.9887000446472546,1.8355221951643045e-12,1.3548144504559672e-06
1.2914313802507804e-06,0,0.9999098524614277,0.9999999512849651,1.0948311906249536e-12,1.0463418134744276e-06
1.2914313802507804e-06,1,8.312955535685647e-05,0.9999841640810015,1.4436258866931617e-12,1.201509836286479e-06
1.2914313802507804e-06,2,3.1628846965137553e-06,0.9993847526834119,1.6172685951009112e-12,1.271718756290443e-06
1.2914313802507804e-06,3,2.05534258056281e-06,0.99722854185792,1.730566584590969e-12,1.3155100093085452e-06
1.2914313802507804e-06,4,1.7997559384202846e-06,0.9881777374374563,1.887779015543639e-12,1.373964706804232e-06
1.3511239984787704e-06,0,0.9999056856565269,0.9999999490332558,1.0994256585325128e-12,1.0485350058689089e-06
1.3511239984787704e-06,1,8.697197461912947e-05,0.9999834321122097,1.4683344352720783e-12,1.2117485033091967e-06
1.3511239984787704e-06,2,3.3090797414657253e-06,0.9993563146852754,1.6536077324187094e-12,1.285926799012568e-06
1.3511239984787704e-06,3,2.1503447478211614e-06,0.9971004393544963,1.7749980003267596e-12,1.332290508983217e-06
1.3511239984787704e-06,4,1.8829443646724158e-06,0.9876312881126769,1.9440444238682695e-12,1.3942899353679168e-06
1.4135757324642056e-06,0,0.9999013262533217,0.9999999466774679,1.1042531316525846e-12,1.0508344929876372e-06
1.4135757324642056e-06,1,9.099199841355342e-05,0.9999826663103129,1.4946378576808883e-12,1.2225538260873786e-06
1.4135757324642056e-06,2,3.462032222498766e-06,0.9993265622242942,1.6925008450641e-12,1.3009615079102457e-06
1.4135757324642056e-06,3,2.249738110916706e-06,0.9969664156895244,1.822704672271757e-12,1.3500758024169447e-06
1.4135757324642056e-06,4,1.969977931320846e-06,0.9870595807746388,2.0047064115725785e-12,1.4158765523775647e-06
1.4789141142200737e-06,0,0.9998967653495217,0.9999999442127907,1.1093264313250792e-12,1.0532456652296648e-06
