component,weight_in_0_1,mean,sigma,normalization_range
0,0.077416116868,0.677171066692,0.35,"[0,1]"
1,0.135334171174,0.999993855825,0.153904803245,"[0,1]"
2,0.125841439379,0.999993855825,0.0573680711812,"[0,1]"
3,0.101560696051,0.999993855825,0.019581894445,"[0,1]"
4,0.559847576529,0.999993855825,0.00479768891507,"[0,1]"
