component,weight,alpha,beta,mean
0,0.208440412329,1.41542980747,0.314198803384,0.818343197255
1,0.502854285763,7.22103593289,0.241764542593,0.967604045775
2,0.288705301908,799.999999992,4.00962562923,0.995012963152
